SortOrder,CruiseID,StationNum,StationNme,DBOregion,Latitude,Longitude,DataDate,DataYear,ChirkNum,gc_Polychaeta,gc_Bivalvia,gc_Crustacea,gc_Sipuncula,gc_Ophiuroidea,gc_Echinoidea,gc_Anthozoa,gc_Ascidiacea,gc_Nemertea,gc_Others,TotGC,DomTaxGCfm,ww_Polychaeta,ww_Bivalvia,ww_Crustacea,ww_Sipuncula,ww_Ophiuroidea,ww_Echinoidea,ww_Anthozoa,ww_Ascidiacea,ww_Nemertea,ww_Others,ww_TotWW,DomTaxWW,abd_Polychaeta,abd_Bivalvia,abd_Crustacea,abd_Sipuncula,abd_Ophiuroidea,abd_Echinoidea,abd_Anthozoa,abd_Ascidiacea,abd_Nemertea,abd_Others,TotAbd,DomTaxAbd
590,HX059,81,blank,,63.492,-168.166,19840630,1984,81,0.11,11.34,0.27,0.00,0.00,0.00,2.57,0.00,0.00,0.40,14.68,Bivalvia,1.49,319.27,3.60,0.00,0.00,0.00,42.09,0.00,0.00,22.39,388.84,Bivalvia,23,445,385,0,0,0,38,0,0,3,893,Bivalvia
591,HX073,1,blank,,64.333,-166.534,19850725,1985,1,3.64,0.03,0.15,0.41,0.48,0.00,0.00,1.50,0.12,1.28,7.62,Polychaeta,54.90,1.17,2.02,9.13,34.33,0.00,0.00,93.47,1.34,59.59,255.94,Ascidiacea,905,83,168,13,148,0,0,43,13,23,1393,Polychaeta
592,HX073,104,blank,,64.175,-169.074,19850808,1985,104,1.37,1.77,15.65,0.00,0.00,0.00,0.00,0.00,0.09,0.02,18.90,Crustacea,19.19,95.31,226.37,0.00,0.00,0.00,0.00,0.00,0.96,0.34,342.17,Crustacea,478,393,13443,0,0,0,0,0,23,3,14338,Crustacea
593,HX073,11,blank,,64.967,-169.202,19850726,1985,11,3.27,4.79,11.31,0.01,0.00,0.00,0.00,0.00,0.47,0.16,20.02,Crustacea,45.30,181.73,165.09,0.30,0.00,0.00,0.00,0.00,5.00,7.77,405.20,Bivalvia,218,148,5418,20,0,0,0,0,15,3,5820,Crustacea
594,HX073,122,blank,,64.367,-169.416,19850811,1985,122,1.36,1.99,8.64,0.01,0.00,0.00,0.00,0.00,1.38,0.00,13.38,Crustacea,17.93,82.38,126.61,0.16,0.00,0.00,0.00,0.00,14.88,0.02,241.97,Crustacea,348,250,4905,3,0,0,0,0,13,3,5520,Crustacea
595,HX073,18,blank,,64.967,-169.267,19850727,1985,18,0.84,5.37,14.37,0.00,0.00,0.00,0.53,0.00,0.30,0.04,21.45,Crustacea,11.33,286.16,209.61,0.00,0.00,0.00,8.67,0.00,3.25,1.20,520.22,Bivalvia,435,95,7030,0,0,0,5,0,8,3,7575,Crustacea
596,HX073,2,blank,,64.333,-166.967,19850725,1985,2,3.64,2.24,0.57,0.06,0.02,0.00,0.00,4.29,0.01,0.04,10.88,Ascidiacea,51.17,66.96,7.97,1.24,1.57,0.00,0.00,114.45,0.14,1.79,245.30,Ascidiacea,500,45,513,13,33,0,0,30,13,18,1163,Crustacea
597,HX073,22,blank,,64.968,-167.650,19850728,1985,22,1.08,0.27,0.30,0.00,0.00,0.06,0.00,0.09,0.02,0.00,1.82,Polychaeta,13.48,11.39,4.36,0.00,0.03,7.30,0.00,2.22,0.19,0.03,39.00,Polychaeta,50,65,1198,0,10,185,3,3,3,8,1523,Crustacea
598,HX073,23,blank,,64.968,-167.851,19850729,1985,23,4.27,2.85,0.73,0.17,0.00,0.00,2.11,24.74,0.10,0.55,35.53,Ascidiacea,60.96,113.90,10.52,3.81,0.15,0.00,46.66,608.48,1.10,42.47,888.04,Ascidiacea,575,195,1458,20,30,0,23,108,0,53,2460,Crustacea
599,HX073,24,blank,,64.966,-168.459,19850729,1985,24,1.04,3.56,11.29,0.02,0.00,0.00,1.88,0.00,0.12,7.97,25.88,Crustacea,15.05,114.75,164.91,0.35,0.04,0.00,30.75,0.00,1.33,379.50,706.67,Others,430,180,5623,20,3,0,13,0,60,40,6368,Crustacea
600,HX073,27,blank,,64.800,-168.215,19850730,1985,27,0.83,1.39,9.41,0.03,0.00,0.00,0.00,0.00,0.00,1.19,12.86,Crustacea,12.10,84.02,136.64,0.75,0.00,0.00,0.00,0.00,0.00,55.79,289.30,Crustacea,308,493,7705,55,0,0,0,0,0,23,8583,Crustacea
601,HX073,57,blank,,65.117,-167.833,19850802,1985,57,0.82,0.09,0.11,0.00,0.00,0.00,0.00,0.00,0.03,0.00,1.06,Polychaeta,10.58,4.89,1.45,0.00,0.19,0.12,0.00,0.00,0.36,0.00,17.58,Polychaeta,58,113,115,0,3,3,0,0,3,0,293,Crustacea
602,HX073,58,blank,,64.925,-167.766,19850802,1985,58,0.93,0.27,1.18,0.00,0.00,0.40,0.00,0.00,0.01,0.02,2.81,Crustacea,12.48,9.47,16.97,0.00,0.00,50.35,0.00,0.00,0.12,0.63,90.02,Echinoidea,108,130,5280,0,3,190,0,0,3,50,5763,Crustacea
603,HX073,75,blank,,64.683,-169.010,19850803,1985,75,2.25,4.00,17.95,0.00,0.01,0.00,0.00,0.05,0.35,0.00,24.61,Crustacea,30.52,208.24,261.41,0.02,0.61,0.00,0.00,1.17,3.80,0.08,505.85,Crustacea,683,180,7968,8,5,0,0,3,23,8,8875,Crustacea
604,HX073,80,blank,,64.408,-170.067,19850803,1985,80,2.44,14.39,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.01,17.04,Bivalvia,32.47,453.36,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.27,488.79,Bivalvia,338,395,888,0,0,0,0,0,0,10,1630,Crustacea
605,HX073,81,blank,,64.666,-169.766,19850804,1985,81,2.26,3.42,11.26,0.79,0.00,0.00,0.00,0.00,0.17,0.00,17.91,Crustacea,28.99,93.98,165.50,17.66,0.00,0.00,0.00,0.00,1.86,0.08,308.05,Crustacea,568,178,2418,13,0,0,0,0,33,8,3215,Crustacea
606,HX074,10,blank,,67.501,-168.919,0,1985,10,3.27,46.02,9.40,0.10,0.12,0.00,2.81,0.00,0.20,1.01,62.93,Bivalvia,47.70,1323.33,134.77,2.26,8.74,0.00,46.09,0.00,2.20,28.13,1593.22,Bivalvia,638,1020,7180,18,43,0,68,0,23,168,9155,Crustacea
607,HX074,11,blank,,67.500,-167.299,19850830,1985,11,4.17,6.22,1.87,0.00,0.41,0.00,0.00,0.00,1.76,0.80,15.24,Bivalvia,58.94,162.10,23.96,0.00,29.28,0.00,0.00,0.00,18.88,37.69,330.84,Bivalvia,403,423,1008,0,10,0,0,0,10,668,2520,Crustacea
608,HX074,12,blank,,68.000,-168.923,19850830,1985,12,0.00,3.53,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,Bivalvia,0.00,103.77,5.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.18,Bivalvia,0,60,20,0,0,0,0,0,0,0,80,Bivalvia
609,HX074,13,blank,,69.001,-168.913,19850831,1985,13,0.32,0.40,0.05,0.00,0.44,0.00,0.00,0.00,0.00,0.01,1.21,Ophiuroidea,4.97,14.70,0.57,0.00,31.17,0.00,0.00,0.00,0.00,0.24,51.65,Ophiuroidea,55,238,118,0,45,0,0,0,0,13,468,Bivalvia
610,HX074,15,blank,,69.000,-167.465,19850830,1985,15,1.42,0.07,0.09,0.00,0.03,0.00,0.00,0.00,0.00,0.11,1.72,Polychaeta,20.85,2.15,1.31,0.00,1.83,0.00,0.00,0.00,0.00,3.55,29.69,Polychaeta,220,113,243,0,215,0,0,0,0,68,858,Crustacea
611,HX074,18,blank,,70.000,-163.750,19850902,1985,18,3.82,0.71,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,Polychaeta,56.54,18.52,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.61,Polychaeta,1040,160,100,0,0,0,0,0,0,0,1300,Polychaeta
612,HX074,2,blank,,65.867,-168.919,19850829,1985,2,5.11,1.96,0.21,0.05,0.01,0.00,0.23,2.09,0.02,1.68,11.37,Polychaeta,85.14,103.79,2.76,1.04,0.64,0.00,3.79,51.07,0.22,58.71,307.16,Bivalvia,605,115,138,28,45,0,28,3,0,75,1035,Polychaeta
613,HX074,20,blank,,70.000,-166.253,19850902,1985,20,5.29,0.17,0.48,3.17,0.00,0.00,0.00,0.00,0.96,0.01,10.08,Polychaeta,77.58,4.62,6.89,70.45,0.29,0.00,0.00,0.00,10.36,0.25,170.43,Polychaeta,235,25,168,28,5,0,0,0,3,58,520,Polychaeta
614,HX074,23,blank,,68.333,-168.918,19850903,1985,23,3.81,13.31,0.74,0.00,0.29,0.00,1.98,0.00,0.12,0.05,20.30,Bivalvia,73.81,343.34,10.62,0.00,20.69,0.00,32.46,0.00,1.34,2.06,484.31,Bivalvia,438,718,623,3,18,0,23,0,0,223,2043,Bivalvia
615,HX074,24,blank,,68.335,-168.330,19850903,1985,24,2.41,4.87,0.37,0.00,0.15,0.00,0.00,0.00,0.00,0.24,8.04,Bivalvia,39.96,130.15,4.77,0.00,10.48,0.00,0.00,0.00,0.00,4.70,190.06,Bivalvia,308,675,413,0,170,0,0,0,3,578,2145,Bivalvia
616,HX074,25,blank,,68.335,-167.164,19850903,1985,25,0.42,1.42,0.07,0.06,0.00,0.00,0.34,0.00,0.01,0.02,2.34,Bivalvia,5.81,55.87,0.99,1.38,0.07,0.00,5.60,0.11,0.09,1.37,71.28,Bivalvia,65,20,15,28,13,0,10,3,10,13,175,Polychaeta
617,HX074,3,blank,,66.116,-166.299,19850829,1985,3,1.18,1.41,0.10,0.00,0.00,0.00,0.14,0.03,0.00,0.51,3.37,Bivalvia,17.24,40.31,1.42,0.00,0.08,0.01,2.34,0.64,0.02,23.91,85.96,Bivalvia,1653,150,518,0,35,5,3,5,10,360,2738,Polychaeta
618,HX074,53,blank,,62.833,-168.666,19850908,1985,53,4.09,10.14,1.78,0.00,0.00,0.81,0.00,0.00,0.01,0.01,16.83,Bivalvia,58.15,301.51,24.89,0.00,0.00,100.67,0.00,0.00,0.15,0.17,485.53,Bivalvia,378,1835,5655,0,0,15,0,0,3,3,7888,Crustacea
619,HX074,55,blank,,62.633,-168.083,19850909,1985,55,1.11,0.98,0.95,0.00,0.00,0.55,0.00,0.00,0.00,0.28,3.88,Polychaeta,16.08,56.25,12.82,0.00,0.00,68.39,0.06,0.00,0.02,5.20,158.82,Echinoidea,1090,293,1885,0,0,43,8,0,13,933,4263,Crustacea
620,HX074,57,blank,,62.417,-167.433,19850909,1985,57,0.43,0.57,0.17,0.00,0.00,6.71,0.00,0.00,0.00,0.02,7.90,Echinoidea,6.26,34.36,2.17,0.00,0.00,838.18,0.00,0.00,0.00,0.46,881.43,Echinoidea,325,328,713,0,0,158,0,0,0,40,1563,Crustacea
621,HX074,9,blank,,66.800,-168.102,19850830,1985,9,0.38,1.51,0.11,0.00,0.00,0.00,0.33,1.52,0.00,0.00,3.86,Ascidiacea,5.48,75.16,1.47,0.01,0.08,0.01,5.40,108.85,0.00,0.07,196.51,Ascidiacea,140,1130,1013,3,80,8,8,220,0,8,2608,Bivalvia
622,HX085,61,blank,,66.751,-167.698,19860718,1986,61,1.21,0.88,0.20,0.00,0.00,0.00,0.00,5.13,0.00,0.01,7.43,Ascidiacea,19.20,23.69,2.67,0.00,0.05,0.00,0.00,366.14,0.00,0.19,411.94,Ascidiacea,345,920,653,0,28,0,0,360,0,93,2398,Bivalvia
623,HX085,64,blank,,67.234,-166.215,19860718,1986,64,1.50,0.06,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,Polychaeta,30.14,2.85,1.17,0.00,0.33,0.00,0.00,0.00,0.00,0.09,34.59,Polychaeta,245,175,275,0,50,0,0,0,0,30,775,Crustacea
624,HX085,71,blank,,67.766,-166.167,19860719,1986,71,6.43,0.02,1.97,0.01,0.00,0.00,0.08,0.00,0.01,0.04,8.55,Polychaeta,90.17,0.65,24.43,0.20,0.08,0.00,1.29,0.00,0.08,1.11,118.01,Polychaeta,745,88,1123,5,13,0,3,0,0,58,2033,Crustacea
625,HX085,90,blank,,68.000,-168.916,19860722,1986,90,6.00,10.17,10.40,0.50,0.17,0.00,3.60,0.00,1.35,0.65,32.84,Crustacea,77.18,282.36,144.63,11.07,12.38,0.00,59.05,0.00,14.51,28.42,629.60,Bivalvia,1088,1980,8003,10,90,0,108,0,33,783,12093,Crustacea
626,HX085,94,blank,,68.267,-167.532,19860722,1986,94,11.96,0.79,0.09,2.47,0.01,0.00,2.41,1.37,0.03,0.89,20.01,Polychaeta,168.25,49.53,1.25,54.90,0.72,0.00,58.90,37.79,0.29,49.30,420.94,Polychaeta,317,20,100,50,37,0,30,37,7,60,657,Polychaeta
627,HX171,10,DLN8,,60.907,-178.211,19930613,1993,10,2.81,0.11,0.02,0.00,0.00,0.00,0.00,0.00,0.06,0.01,3.02,Polychaeta,41.20,6.09,0.25,0.08,0.00,0.00,0.00,0.00,0.69,0.31,48.62,Polychaeta,170,240,75,5,0,0,0,0,5,65,560,Bivalvia
628,HX171,11,DLN7,,61.372,-177.486,19930613,1993,11,1.08,0.16,0.02,0.00,0.14,0.00,0.00,0.00,0.02,0.04,1.46,Polychaeta,15.23,3.50,0.29,0.00,9.90,0.00,0.00,0.00,0.25,2.09,31.25,Polychaeta,85,75,85,0,30,0,0,0,0,40,315,Polychaeta
629,HX171,12,DLN6,,61.770,-176.746,19930614,1993,12,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,1.15,Polychaeta,15.64,0.16,0.02,0.00,0.22,0.00,0.00,0.00,0.21,0.01,16.25,Polychaeta,35,43,10,0,28,0,0,0,0,5,120,Bivalvia
630,HX171,13,DLN5,,62.174,-175.954,19930614,1993,13,3.02,0.16,0.06,0.00,0.06,0.00,0.00,0.00,1.21,0.05,4.54,Polychaeta,43.13,4.37,0.70,0.01,3.95,0.00,0.00,0.00,13.02,2.16,67.34,Polychaeta,885,95,55,5,290,0,0,0,15,25,1370,Polychaeta
631,HX171,15,DLN4,,62.531,-175.214,19930614,1993,15,4.80,10.46,0.08,0.00,0.40,0.00,0.00,0.00,0.06,0.10,15.88,Bivalvia,66.80,279.45,0.93,0.05,28.61,0.00,0.00,0.00,0.60,3.32,379.75,Bivalvia,575,853,45,10,53,0,0,0,3,45,1583,Bivalvia
632,HX171,16,DLN3,,62.901,-174.471,19930615,1993,16,2.18,0.49,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.06,3.41,Polychaeta,24.34,14.06,7.97,0.00,0.00,0.00,0.00,0.00,0.00,2.02,48.39,Polychaeta,100,140,300,0,0,0,0,0,0,20,560,Crustacea
633,HX171,17,DLN2,,63.233,-173.785,19930615,1993,17,2.08,6.03,1.62,0.00,0.43,0.00,0.00,0.00,0.05,0.20,10.42,Bivalvia,36.63,172.75,20.08,0.00,30.61,0.00,0.00,0.33,0.56,5.86,266.83,Bivalvia,693,960,585,0,23,0,0,13,0,105,2378,Bivalvia
634,HX171,18,DLN1,,63.599,-173.013,19930615,1993,18,0.88,15.17,2.44,0.00,0.00,0.00,0.00,0.00,0.65,0.00,19.15,Bivalvia,12.19,641.90,32.43,0.00,0.00,0.00,0.00,0.09,7.00,0.25,693.85,Bivalvia,355,515,3335,0,0,0,0,5,5,5,4220,Crustacea
635,HX171,25,NWC1,,63.475,-172.384,19930616,1993,25,0.48,0.66,0.83,0.00,0.00,0.00,0.79,0.00,0.00,0.00,2.77,Crustacea,6.69,18.96,12.07,0.00,0.03,0.00,12.98,0.00,0.00,0.06,50.79,Bivalvia,55,215,655,0,25,0,15,0,0,0,965,Crustacea
636,HX171,26,NWC2,,63.119,-173.084,19930616,1993,26,1.10,8.57,1.67,0.00,0.26,0.00,0.00,0.00,0.00,0.55,12.13,Bivalvia,20.35,263.41,19.64,0.00,18.24,0.00,0.00,0.00,0.00,11.77,333.41,Bivalvia,155,573,1060,0,10,0,0,0,0,98,1895,Crustacea
637,HX171,27,NWC3,,62.766,-173.833,19930616,1993,27,0.72,1.80,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.16,Bivalvia,13.10,50.34,7.98,0.00,0.00,0.00,0.00,0.00,0.00,0.03,71.46,Bivalvia,205,380,180,0,0,0,0,0,0,10,775,Bivalvia
638,HX171,28,NWC4,,62.402,-174.582,19930616,1993,28,3.42,11.90,0.21,4.01,0.10,0.00,0.00,0.00,0.00,0.04,19.69,Bivalvia,45.44,577.62,2.64,89.15,7.42,0.00,0.00,0.00,0.00,0.93,723.21,Bivalvia,320,580,103,5,8,0,0,0,0,20,1035,Bivalvia
639,HX171,29,NWC5,,62.036,-175.245,19930617,1993,29,1.85,11.05,0.00,0.00,0.23,0.00,0.00,0.00,0.09,0.00,13.22,Bivalvia,26.81,465.58,0.04,0.02,16.19,0.00,0.00,0.00,0.93,0.01,509.58,Bivalvia,210,555,20,3,18,0,0,0,0,10,815,Bivalvia
640,HX171,30,NWC6,,61.667,-175.998,19930617,1993,30,1.41,0.03,0.01,0.00,0.79,0.00,0.00,0.00,0.00,0.00,2.24,Polychaeta,19.55,1.02,0.12,0.00,56.27,0.00,0.00,0.00,0.00,0.07,77.04,Ophiuroidea,60,90,110,0,4310,0,0,0,0,40,4610,Ophiuroidea
641,HX171,31,NWC7,,61.266,-176.747,19930617,1993,31,3.81,0.04,0.04,0.00,0.05,0.00,0.00,0.00,0.03,0.02,3.98,Polychaeta,54.58,1.33,0.48,0.00,3.43,0.00,0.00,0.00,0.30,0.97,61.10,Polychaeta,198,145,78,0,465,0,0,0,0,25,910,Ophiuroidea
642,HX171,32,SWC7,,61.515,-175.133,19930618,1993,32,2.09,0.00,0.01,0.00,0.15,0.00,0.00,0.00,0.00,0.00,2.25,Polychaeta,29.74,0.08,0.09,0.00,10.50,0.00,0.00,0.00,0.00,0.07,40.48,Polychaeta,70,20,7,0,273,0,0,0,0,13,383,Ophiuroidea
643,HX171,33,SWC6,,61.882,-174.498,19930618,1993,33,1.48,1.72,0.04,0.00,0.20,0.00,0.00,0.00,0.00,0.02,3.46,Bivalvia,20.98,46.48,0.51,0.00,14.16,0.00,0.00,0.00,0.00,0.39,82.52,Bivalvia,120,268,103,0,363,0,0,0,0,43,895,Ophiuroidea
644,HX171,34,SWC5,,62.260,-173.765,19930618,1993,34,2.38,6.93,0.13,0.00,0.99,0.00,0.00,0.00,0.00,0.01,10.45,Bivalvia,35.35,243.67,1.71,0.00,70.54,0.00,0.00,0.00,0.00,0.25,351.51,Bivalvia,195,500,130,0,40,0,0,0,0,5,870,Bivalvia
645,HX171,35,SWC4,,62.600,-173.086,19930618,1993,35,1.76,7.18,0.29,0.00,0.21,0.00,0.00,0.00,1.43,0.00,10.87,Bivalvia,22.56,273.11,4.08,0.00,15.15,0.00,0.00,0.00,15.38,0.08,330.36,Bivalvia,165,323,165,0,5,0,0,0,0,8,665,Bivalvia
646,HX171,36,SWC3,,62.932,-172.385,19930619,1993,36,1.33,17.43,0.22,0.00,0.24,0.00,0.00,0.00,0.28,0.20,19.70,Bivalvia,20.78,614.93,2.63,0.00,17.30,0.00,0.00,0.00,3.02,3.32,661.97,Bivalvia,270,3030,325,0,8,0,0,0,3,108,3743,Bivalvia
647,HX171,37,SWC2,,63.282,-171.680,19930619,1993,37,1.22,10.71,0.32,3.16,0.65,0.00,0.00,0.00,0.00,0.00,16.07,Bivalvia,21.73,307.20,3.83,70.12,46.36,0.00,0.00,0.00,0.03,0.08,449.35,Bivalvia,240,583,248,3,33,0,0,0,0,5,1110,Bivalvia
648,HX171,40,SIL2,,62.765,-171.669,19930619,1993,40,0.40,1.45,0.00,0.00,1.28,0.00,0.10,0.00,0.00,0.01,3.24,Bivalvia,5.84,42.13,0.04,0.00,91.19,0.00,1.60,0.00,0.00,0.18,140.99,Ophiuroidea,68,103,40,0,28,0,5,0,0,3,245,Bivalvia
649,HX171,41,SIL3,,62.434,-172.332,19930619,1993,41,0.83,0.24,0.08,0.00,0.28,0.00,0.07,0.00,0.00,0.00,1.51,Polychaeta,11.86,6.90,1.06,0.00,20.20,0.00,1.14,0.00,0.00,0.07,41.23,Ophiuroidea,155,1078,175,0,3,0,3,0,0,18,1430,Bivalvia
650,HX171,42,SIL4,,62.080,-172.935,19930620,1993,42,1.63,4.96,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.08,7.28,Bivalvia,21.87,130.77,8.99,0.00,0.00,0.00,0.00,0.00,0.00,1.28,162.92,Bivalvia,218,383,323,0,0,0,0,0,0,13,935,Bivalvia
651,HX171,43,SIL5,,61.715,-173.665,19930620,1993,43,0.21,7.98,0.12,0.00,0.00,0.00,0.00,0.00,0.20,0.00,8.52,Bivalvia,3.12,375.28,1.66,0.00,0.00,0.00,0.00,0.00,2.14,0.00,382.19,Bivalvia,110,578,128,0,0,0,0,0,0,0,815,Bivalvia
652,HX171,44,SIL6,,61.366,-174.334,19930620,1993,44,0.66,4.41,0.05,0.00,0.55,0.00,0.00,0.00,0.00,1.15,6.83,Bivalvia,9.14,124.87,0.64,0.10,39.30,0.00,0.00,0.00,0.00,25.25,199.30,Bivalvia,80,450,60,10,20,0,0,0,0,15,635,Bivalvia
653,HX171,45,SIL7,,61.018,-175.001,19930620,1993,45,0.65,1.17,0.03,0.00,0.49,0.00,0.00,0.00,0.05,0.00,2.38,Bivalvia,9.18,38.90,0.39,0.00,34.93,0.00,0.00,0.00,0.55,0.03,83.98,Bivalvia,38,183,45,0,800,0,0,0,3,3,1070,Ophiuroidea
654,HX171,46,SEC7,3,60.882,-174.084,19930621,1993,46,0.83,3.59,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.44,Bivalvia,11.80,117.05,0.18,0.00,0.02,0.00,0.00,0.00,0.00,0.07,129.11,Bivalvia,40,190,40,0,15,0,0,0,0,20,305,Bivalvia
655,HX171,47,SEC6,3,61.210,-173.492,19930621,1993,47,2.24,2.73,0.04,0.01,0.14,0.00,0.00,0.00,0.00,2.13,7.29,Bivalvia,31.38,86.81,0.49,0.27,9.86,0.00,0.00,0.00,0.00,41.83,170.65,Bivalvia,268,323,228,3,10,0,0,0,0,35,865,Bivalvia
656,HX171,48,SEC5,3,61.549,-172.904,19930621,1993,48,0.04,9.93,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.09,Bivalvia,0.59,322.91,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,325.10,Bivalvia,50,640,80,0,0,0,0,0,0,5,775,Bivalvia
657,HX171,49,SEC4,3,61.934,-172.200,19930621,1993,49,1.17,14.51,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.06,Bivalvia,18.78,454.93,5.44,0.00,0.03,0.00,0.00,0.00,0.00,0.01,479.20,Bivalvia,98,630,93,0,3,0,0,0,0,5,828,Bivalvia
658,HX171,50,SEC3,3,62.268,-171.586,19930621,1993,50,1.00,0.32,0.21,0.00,0.00,0.00,0.00,0.00,0.81,0.00,2.33,Polychaeta,13.05,9.01,3.00,0.00,0.00,0.00,0.00,0.00,8.67,0.05,33.77,Polychaeta,95,635,905,0,0,0,0,0,5,0,1640,Crustacea
659,HX171,52,SEC2,3,62.617,-170.948,19930622,1993,51,0.25,0.08,0.01,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.48,Polychaeta,3.05,2.14,0.09,0.00,0.00,0.00,2.41,0.00,0.00,0.00,7.68,Polychaeta,33,145,148,0,0,0,3,0,0,0,328,Crustacea
660,HX171,54,UTN5=SEC1,3,62.984,-170.251,19930622,1993,54,0.38,2.73,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.21,Bivalvia,4.95,74.16,15.43,0.00,0.00,0.00,0.00,0.00,0.00,0.01,94.55,Bivalvia,90,520,805,0,0,0,0,0,0,0,1415,Crustacea
661,HX171,55,NEC1,,62.984,-170.251,19930622,1993,55,0.59,1.06,0.53,0.00,0.00,0.00,0.00,0.00,0.75,0.00,2.93,Bivalvia,7.81,39.16,7.45,0.00,0.00,0.00,0.00,0.00,8.08,0.05,62.54,Bivalvia,148,700,963,0,0,0,0,0,5,5,1820,Crustacea
662,HX171,56,NEC2,,62.432,-170.083,19930622,1993,56,0.51,0.16,0.01,0.00,0.02,0.37,0.00,0.00,0.00,0.03,1.11,Polychaeta,7.32,4.80,0.13,0.00,1.68,45.84,0.00,0.00,0.00,0.55,60.32,Echinoidea,188,623,60,0,3,5,0,0,0,3,880,Bivalvia
663,HX171,57,NEC3,,62.083,-170.682,19930622,1993,57,5.41,2.39,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.89,Polychaeta,78.26,61.56,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.10,Polychaeta,78,213,58,0,0,0,0,0,0,0,348,Bivalvia
664,HX171,59,NEC4,,61.766,-171.269,19930622,1993,59,0.48,7.18,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.70,Bivalvia,10.07,218.17,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.08,228.81,Bivalvia,100,500,60,0,0,0,0,0,0,5,665,Bivalvia
665,HX171,60,NEC5,,61.367,-171.931,19930623,1993,60,0.78,8.51,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.01,10.11,Bivalvia,11.69,355.15,11.03,0.00,0.00,0.00,0.00,0.00,0.00,0.20,378.07,Bivalvia,160,1930,200,0,0,0,0,0,0,8,2298,Bivalvia
666,HX171,62,NEC6,,61.067,-172.583,19930623,1993,62,1.12,6.58,0.79,0.00,0.00,0.00,0.00,0.00,0.00,4.41,12.90,Bivalvia,22.92,200.47,10.66,0.00,0.00,0.00,0.00,0.00,0.00,86.53,320.57,Bivalvia,175,405,655,0,0,0,0,0,0,15,1250,Crustacea
667,HX171,63,SWL5,,61.885,-174.498,19930624,1993,63,2.14,10.54,0.08,0.00,0.80,0.00,0.00,0.00,0.00,0.01,13.58,Bivalvia,31.63,439.23,1.14,0.04,57.39,0.00,0.00,0.00,0.00,0.33,529.75,Bivalvia,300,695,115,5,25,0,0,0,0,5,1145,Bivalvia
668,HX171,64,NWC4,,62.413,-174.589,19930625,1993,64,0.80,11.71,0.39,3.47,0.00,0.00,0.00,0.00,0.00,0.01,16.38,Bivalvia,10.55,535.78,4.73,77.07,0.00,0.00,0.00,0.00,0.00,0.29,628.42,Bivalvia,170,515,105,5,0,0,0,0,0,10,805,Bivalvia
669,HX171,65,DLN3,,62.901,-174.466,19930625,1993,65,0.47,3.04,1.28,0.00,0.15,0.00,0.00,0.00,0.00,0.02,4.97,Bivalvia,6.43,82.08,15.90,0.00,10.81,0.00,0.00,0.00,0.00,0.30,115.53,Bivalvia,245,250,375,0,5,0,0,0,0,20,895,Crustacea
670,HX171,68,NBS3,,64.951,-169.333,19930625,1993,68,2.89,5.78,3.58,0.00,0.02,0.00,0.00,0.00,0.07,0.05,12.40,Bivalvia,41.04,342.09,52.33,0.00,1.70,0.00,0.00,0.00,0.74,1.17,439.06,Bivalvia,108,195,2508,0,3,0,0,0,3,3,2818,Crustacea
671,HX171,76,CKS3,,67.667,-168.955,19930627,1993,76,0.59,10.38,1.80,0.00,0.00,0.00,1.97,0.00,0.00,0.20,14.95,Bivalvia,9.39,276.81,23.42,0.00,0.06,0.00,32.31,0.00,0.00,7.45,349.43,Bivalvia,138,365,1103,0,0,0,90,0,0,290,1985,Crustacea
672,HX171,78,DLN5,,62.169,-175.967,19930629,1993,78,3.15,0.44,0.02,0.00,0.27,0.00,0.00,0.00,0.44,0.03,4.36,Polychaeta,45.01,12.12,0.25,0.00,19.59,0.00,0.00,0.00,4.69,1.38,83.02,Polychaeta,520,55,20,0,310,0,0,0,5,35,945,Polychaeta
